name,short,region,location,org,is_disbanded,renamed_to
ÇİLEKLER,CLK,Turkey,Turkey,,1,
Cincinnati Fear,FEAR,Americas,United States,,1,
Circus Kittens,CK,EMEA,Germany,,1,
CITA Kaizen,CKZ,EMEA,Czech Republic,,0,
CITA Kaizen Academy,CKZA,EMEA,Czech Republic,,0,
Citadel Gaming,CTG,North America,United States,,0,
CJ Entus,CJ,Korea,South Korea,,1,
CJ Entus Blaze,CJB,Korea,South Korea,,1,
CJ Entus Frost,CJF,Korea,South Korea,,1,
Clã NKZ,NKZ,Brazil,,,0,
Cleary University,CU,North America,United States,,0,
Cleveland State University,CSU,North America,,,0,
CLG Academy,CLG.A,North America,United States,,1,CLG Challengers
CLG Black,CLB,North America,Canada,,1,CLG Academy
CLG Challengers,CLGC,North America,United States,,1,
CLG Faith,CLGF,North America,United States,,1,
CLN Vipers,CLN.V,Europe,,,1,
Cloud9,C9,North America,United States,,0,
Cloud9 Academy,C9.A,North America,United States,,1,Cloud9 Challengers
Cloud9 Amateur,C9.Am,North America,United States,,1,
Cloud9 Challenger,C9C,North America,United States,,1,
Cloud9 Challengers,C9C,North America,United States,,1,
Cloud9 Eclipse,C9E,Europe,Europe,,1,
Cloud9 Tempest,C9T,North America,United States,,1,
Clown Gaming,CLWN,Americas,,,1,
CLUB Activist,ACT,LMS,Taiwan,,1,
Club Deportivo Municipal,CDM,Latin America,Peru,,1,
Clutch Gaming,CG,North America,United States,,1,Dignitas
Clutch Gaming Academy,CG.A,North America,United States,,1,Dignitas Academy
CNB e-Sports Club,CNB,Brazil,Brazil,,1,
CNB Infinity,CNBI,Brazil,Brazil,,1,
CNG Royal,CNG,EMEA,Norway,,0,
CNJ Esports,CNJ,Vietnam,South Korea,,1,
COGnitive Gaming,COG,North America,North America,,1,
Cold Hearted,COLD,North America,,,1,
Coliseo Dragons,CdR,Americas,Argentina,,1,
Colmeia Esports,BEE,Brazil,Brazil,,1,
Colorado State University,CSU,North America,,,0,
Colossal Gaming,CG,EMEA,Italy,,0,
Columbia College,CC,North America,,,0,
Comanche,CMCE,CIS,Russia,,1,
Comanchero Gaming,CHG,EMEA,Turkey,,1,
