player_id,position,league,tier,games,winrate,操作,意识,心态,团队,体质,总评,box_综合,impact,final_z,teams
Yanxiang,jng,LDL,2,75,0.413,36.4,54.0,46.2,49.7,55.5,47.0,56.4,40.2,-0.371,Team WE Academy
Raptor,jng,LCKC,2,45,0.422,40.6,56.5,40.8,51.0,45.5,47.0,53.7,45.8,-0.371,HANJIN BRION|HANJIN BRION Challengers
Sparz,sup,TCL,15,22,0.364,49.2,50.8,42.5,53.2,31.2,47.0,52.8,47.9,-0.37,Fenerbahçe Esports|Galakticos
Macucho,sup,VL,3,36,0.472,56.2,40.7,40.8,45.7,47.8,47.0,50.9,52.7,-0.373,GeekSide Esports|God's Plan
Nio,sup,PRMP,3,22,0.727,45.9,39.3,50.4,46.8,62.5,47.0,50.0,55.1,-0.371,Hertha BSC eSport
Mysun,sup,LDL,2,56,0.518,44.6,43.8,43.4,50.6,60.0,47.0,48.7,58.3,-0.374,Royal Club
Siicked,top,LMF,2,44,0.341,44.6,56.1,40.7,50.0,37.3,46.9,56.9,39.2,-0.376,9z Team|Maycam Evolve
Maple,mid,LCS,1,38,0.342,45.4,42.6,58.4,49.2,41.4,46.9,56.1,40.6,-0.377,Anyone's Legend|TSM
SpeedoBear,sup,GLL,3,22,0.364,44.7,54.3,46.4,48.2,35.4,46.9,52.9,47.5,-0.378,Partizan Esports|Team Refuse
Jenkins,top,LCSA,2,67,0.448,41.5,48.8,47.2,47.1,54.6,46.8,54.3,44.1,-0.383,CLG Academy|Counter Logic Gaming
aleykxar,bot,NEXO,3,26,0.346,52.5,40.0,58.1,39.4,41.7,46.8,53.0,47.1,-0.382,AYM Esports|Dead Rabbits Club
Lukezy,mid,PGN,3,32,0.469,56.2,48.0,33.4,43.7,42.8,46.8,52.7,47.8,-0.384,Cyber Wolves|aNc Outplayed
yaoyao,sup,LPL,1,30,0.5,40.1,50.3,53.4,54.7,36.3,46.8,50.4,53.7,-0.38,ThunderTalk Gaming
Shernfire,jng,LFL,2,40,0.4,44.1,46.3,43.4,47.2,57.8,46.7,53.9,44.8,-0.389,Team Oplon
Scarlet,mid,LFL,2,41,0.415,54.1,47.3,39.2,43.3,41.6,46.7,52.8,47.5,-0.386,Solary
Johnsun,bot,LCS,1,58,0.448,51.0,50.1,35.6,50.4,38.2,46.7,52.2,48.8,-0.389,FlyQuest
PauFerran,sup,NEXO,3,20,0.25,46.5,45.2,52.7,51.4,36.4,46.7,52.1,49.1,-0.389,LK Gaming|Phlox Gaming|TDC Esports
Sive,sup,CBLOL,15,21,0.381,50.8,55.4,33.1,48.8,31.9,46.6,54.1,44.3,-0.39,Miners
Zothve,top,LLA,15,28,0.286,45.7,48.9,48.6,47.0,40.8,46.6,52.3,48.5,-0.39,All Knights
CRY NOW,mid,UPL,2,29,0.621,59.4,32.7,48.1,43.4,46.7,46.6,48.0,59.5,-0.392,Wild West Bandits
omly,mid,PGC,2,26,0.385,57.9,37.0,51.2,44.9,34.9,46.5,56.1,40.1,-0.4,STXP|University of Michigan
Strive,mid,LPL,1,87,0.425,43.8,53.2,44.8,45.6,41.8,46.5,54.4,43.5,-0.395,Rare Atom
Josedeodo,jng,LCS,1,58,0.448,39.9,55.3,37.3,55.9,42.8,46.4,52.0,48.8,-0.404,FlyQuest
Lauxio,sup,EBL,3,25,0.44,56.8,38.9,45.1,44.5,40.9,46.4,52.0,48.9,-0.402,Cyber Wolves
Aliez,top,LDL,2,49,0.469,45.4,53.2,36.7,44.9,48.9,46.4,52.0,48.9,-0.403,Ultra Prime|Ultra Prime Academy
Bolyy1,sup,UL,2,22,0.409,51.4,43.3,44.9,46.2,43.0,46.4,52.0,48.8,-0.404,Iron Wolves
Mordio,jng,PGC,2,30,0.433,56.4,42.6,50.5,36.2,37.9,46.4,51.7,49.6,-0.403,Big Duck Energy|Glacial Red|The Longest Yard|Winthrop University
Leemo,jng,PGC,2,35,0.4,51.1,45.4,43.3,48.8,37.4,46.4,51.0,51.4,-0.404,Area of Effect Pump|Dare Gaming|Team Fish Taco
Wunai3,sup,LDL,2,25,0.56,50.1,39.0,59.9,44.0,38.0,46.4,49.4,55.6,-0.401,EQX|Invictus Gaming Young
Marky,top,LVP SL,2,44,0.386,43.9,50.1,53.9,44.3,36.8,46.3,55.1,41.8,-0.408,Movistar KOI
Moham,sup,LCK,1,27,0.333,60.7,38.5,40.1,42.2,40.8,46.3,54.2,43.6,-0.407,DN SOOPers|DN SOOPers Challengers
Chrisberg,bot,NLC,2,63,0.508,59.4,34.5,43.3,43.0,47.4,46.3,53.9,44.3,-0.407,Astralis Talent
shibi,jng,HC,3,28,0.429,41.6,56.2,41.6,51.3,35.9,46.3,53.7,44.6,-0.41,Inside Games Challengers
Nightstar,bot,UPL,2,33,0.394,51.2,41.3,54.1,43.4,37.8,46.3,52.7,47.0,-0.407,Conviction|Grand View University|Team Ambition
Phlaty,mid,UL,2,24,0.5,49.5,43.4,39.0,58.2,38.5,46.3,52.1,48.5,-0.405,Goskilla|Unicorns of Love.CIS
